laptop_model,brand,price,num_votes,ratings,thickness,weight,warranty,screen_size,resolution_width,resolution_height,ppi,threads,ram,antiglare,aspect_ratio,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,inbuilt_microphone,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd,popularity,quality_type,ppi_type
Acer One 14 Z8-415 Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),Acer,25990,1086.0,4.1,medium,lite,1.0,14.0,1920.0,1080.0,157,4.0,8,1,,0,2.0,45.5,2.0,1,1,0,0,0,0,0,0,1,1.0,3.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,popular,low,high
Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),Wings,34990,69.0,4.7,,medium,1.0,15.6,1080.0,1920.0,141,8.0,8,1,,0,4.0,17.85,,1,0,0,0,0,0,1,0,1,1.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0,regular,high,medium
MSI Thin GF63 12HW-012IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics),MSI,49990,172.0,4.25,medium,medium,2.0,15.6,1920.0,1080.0,141,12.0,16,1,,0,8.0,51.0,3.0,1,1,0,1,0,0,1,0,1,0.0,3.0,1.0,12.0,intel,i5,intel,4.0,Integrated,0,0,1,0,,512.0,regular,low,medium
Acer Nitro V ANV15-51 Gaming Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 6GB Graph),Acer,79745,75.0,4.5,thick,heavy,1.0,15.6,1920.0,1080.0,141,12.0,8,1,,0,8.0,,,1,1,0,0,0,0,1,0,1,0.0,3.0,1.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,medium,medium
Acer Aspire Lite AL15-51 Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),Acer,35990,162.0,4.0,medium,medium,1.0,15.6,1920.0,1080.0,141,12.0,16,1,16:9,0,6.0,36.0,3.0,1,1,1,0,0,0,0,0,1,1.0,2.0,1.0,5.0,amd,5,intel,,Integrated,0,0,1,0,,512.0,regular,low,medium
HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),HP,92221,406.0,4.3,thick,heavy,1.0,16.1,1920.0,1080.0,137,16.0,16,1,16:9,0,8.0,70.0,4.0,1,1,0,1,0,0,1,0,1,0.0,3.0,1.0,7.0,amd,7,nvidia,6.0,rtx3050,0,0,0,1,,1024.0,popular,medium,low
Wings Nuvobook Pro Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),Wings,45990,89.0,4.15,slim,lite,1.0,14.0,1080.0,1920.0,157,8.0,16,1,,0,4.0,17.85,,1,0,0,0,0,0,1,0,1,1.0,2.0,2.0,11.0,intel,i7,intel,,Integrated,0,1,0,0,,512.0,regular,low,high
HP 15s-fr2515TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),HP,37650,392.0,4.1,slim,medium,1.0,15.6,1920.0,1080.0,141,4.0,8,1,16:9,0,2.0,41.0,3.0,1,0,1,0,0,0,0,0,1,0.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,popular,low,medium
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),Asus,49990,768.0,4.25,medium,medium,1.0,16.0,1920.0,1200.0,283,12.0,8,1,16:10,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1,1.0,2.0,1.0,5.0,amd,5,amd,,Integrated,0,0,0,1,,512.0,popular,low,high
MSI Modern 14 C11M-031IN Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),MSI,28990,703.0,4.2,medium,lite,1.0,14.0,1920.0,1080.0,157,4.0,8,1,,0,2.0,,3.0,1,0,0,0,0,0,1,0,1,2.0,1.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,popular,low,high
