brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd
Asus,61990,19.9,1.8,16.0,283,16.0,16,1,0,8.0,,,1,0,0,0,0,0,1,1,1.0,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0
Infinix,37990,14.8,1.24,14.0,157,12.0,16,0,0,10.0,50.0,3.0,1,0,0,0,0,0,1,0,,,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Lenovo,148990,0.0,heavy,16.0,236,20.0,32,1,0,14.0,99.0,3.0,1,1,0,1,0,0,1,0,,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,0,1,,1024.0
HP,71960,23.5,2.29,15.6,141,12.0,16,1,0,8.0,70.0,4.0,1,1,1,0,0,0,1,0,,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Honor,46990,17.0,1.43,14.0,162,12.0,16,1,0,8.0,60.0,,1,0,0,0,0,0,1,1,,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Wings,25990,18.4,1.6,15.6,141,8.0,8,1,0,4.0,17.85,,1,0,0,0,0,0,1,0,1.0,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,1,0,0,,256.0
Acer,49990,19.9,2.1,15.6,141,12.0,16,0,0,8.0,50.0,3.0,1,1,0,0,0,0,1,0,,3.0,1.0,12.0,intel,i5,nvidia,4.0,gtx1650,0,0,1,0,,512.0
MSI,63990,21.7,1.86,15.6,141,16.0,16,1,0,8.0,50.0,3.0,1,1,0,0,0,0,1,0,,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,1,0,512.0,512.0
MSI,64990,21.7,1.86,15.6,141,16.0,16,1,0,8.0,52.4,3.0,1,1,0,0,0,0,1,0,,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Dell,37516,21.0,1.65,15.6,141,8.0,8,1,0,6.0,41.0,3.0,1,0,1,0,1,0,0,0,1.0,2.0,,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
Asus,53981,20.0,1.88,16.0,142,12.0,16,1,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,0,1,,512.0
HP,22980,19.9,1.47,14.0,112,12.0,8,1,0,2.0,,,1,1,1,0,0,0,0,0,,2.0,1.0,7.0,amd,3,amd,0.0,Integrated,1,0,0,0,512.0,512.0
Xiaomi,46990,17.9,1.7,15.6,242,8.0,16,0,0,4.0,,,1,0,0,1,0,0,1,1,1.0,1.0,1.0,11.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Lenovo,56990,0.0,1.46,14.0,141,12.0,16,1,0,8.0,56.6,,1,0,0,0,0,0,1,0,,2.0,2.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Infinix,29990,211.1,1.24,14.0,157,8.0,8,0,0,6.0,50.0,3.0,1,0,0,0,0,0,1,0,,,2.0,12.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
Asus,89990,30.4,2.5,16.0,142,16.0,16,1,0,10.0,72.0,4.0,1,0,0,1,0,0,1,0,,2.0,1.0,13.0,intel,i5,nvidia,6.0,rtx3050,0,0,0,1,,512.0
Asus,55990,0.0,1.7,15.6,141,16.0,8,1,0,12.0,42.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Acer,27990,19.7,1.59,15.6,141,4.0,8,1,0,2.0,36.0,3.0,1,1,1,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
Acer,24990,21.6,1.5,14.0,157,4.0,8,1,0,2.0,45.5,,1,1,0,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,256.0
Acer,32990,21.6,1.5,14.0,135,8.0,8,0,0,4.0,45.5,2.0,1,1,0,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
HP,36850,17.9,1.75,15.6,100,12.0,8,1,0,6.0,41.0,3.0,1,1,1,0,0,0,0,0,,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0
Lenovo,36990,19.9,1.7,15.6,147,12.0,8,1,0,6.0,38.0,,1,1,0,0,0,0,0,0,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0
Dell,67990,26.9,2.57,15.6,141,16.0,8,1,0,12.0,41.0,3.0,1,1,0,0,0,0,1,0,1.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Lenovo,18990,0.0,1.8,14.0,157,2.0,8,1,0,2.0,,,1,0,1,0,0,0,0,0,1.0,1.0,1.0,7.0,amd,3,amd,0.0,Integrated,1,0,0,0,,256.0
Dell,35980,23.5,1.8,15.56,147,4.0,8,0,0,2.0,50.0,3.0,1,0,1,0,0,0,1,0,1.0,2.0,,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
HP,80990,22.9,2.31,16.1,137,16.0,16,1,0,8.0,70.0,4.0,1,1,0,0,0,0,1,0,,3.0,1.0,7.0,amd,7,nvidia,6.0,rtx3050,0,0,0,1,,512.0
HP,53999,242.0,1.69,15.6,141,12.0,8,1,0,10.0,41.0,3.0,1,0,1,0,0,0,0,0,,,1.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Lenovo,58989,17.9,1.89,16.0,141,12.0,16,1,0,8.0,56.6,,1,0,0,0,0,0,1,0,,2.0,2.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
MSI,126990,24.9,2.25,15.6,141,20.0,16,1,0,14.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,1,0,,1024.0
Acer,42999,19.7,1.59,15.6,141,8.0,16,1,0,4.0,36.0,3.0,1,1,1,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Dell,84499,19.5,1.59,14.0,141,16.0,16,1,0,12.0,54.0,4.0,1,0,1,0,0,0,1,1,,2.0,1.0,13.0,intel,i7,intel,0.0,Integrated,1,0,0,0,,1024.0
Infinix,30990,14.8,1.24,14.0,157,4.0,8,0,0,2.0,50.0,,1,0,0,0,0,0,1,0,,2.0,2.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,256.0
HP,74990,17.9,1.75,15.6,141,16.0,16,1,0,12.0,41.0,3.0,1,0,0,0,0,0,1,0,,2.0,1.0,13.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
HP,62750,23.5,2.46,16.1,137,12.0,16,1,0,6.0,70.0,4.0,1,1,1,0,1,0,1,0,,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0
Asus,65990,19.9,1.8,15.6,141,12.0,16,1,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,2.0,1.0,1.0,5.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
