brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd
HP,25999,19.9,1.47,14.0,112,8.0,8,1,0,4.0,41.0,3.0,1,1,1,0,0,0,0,0,,2.0,1.0,5.0,amd,3,amd,0.0,Integrated,1,0,0,0,,512.0
Honor,34990,0.0,lite,14.0,141,12.0,8,0,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0
Lenovo,30790,19.9,1.74,15.6,147,8.0,8,1,0,4.0,,,1,1,1,0,0,0,0,0,1.0,2.0,1.0,5.0,amd,3,amd,0.0,Integrated,0,0,1,0,,512.0
Asus,61990,24.5,2.3,15.6,141,12.0,16,1,0,6.0,72.0,4.0,1,1,0,1,0,0,1,0,,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Apple,94990,11.3,1.24,13.6,224,8.0,8,0,0,8.0,52.6,,0,0,0,1,1,0,1,0,,,2.0,2.0,apple,M2,apple,0.0,Integrated,0,0,1,0,,256.0
Samsung,63990,15.4,1.57,15.6,141,12.0,16,1,0,10.0,,,0,0,0,0,0,0,1,1,2.0,,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Asus,11990,1.95,1.24,11.6,135,2.0,4,1,0,2.0,50.0,3.0,0,0,1,0,0,0,0,0,,2.0,2.0,7.0,intel,7,intel,0.0,Integrated,0,0,1,0,64.0,64.0
Realme,32990,14.9,1.38,14.0,157,4.0,8,1,0,2.0,,,0,0,0,0,0,0,1,1,,1.0,2.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,256.0
Lenovo,44690,0.0,1.6,15.6,141,6.0,8,1,0,5.0,47.0,3.0,0,0,0,0,0,0,1,0,,,,13.0,intel,i3,intel,0.0,Integrated,0,1,0,0,,512.0
Acer,36990,19.7,1.59,15.6,141,4.0,16,1,0,2.0,36.0,3.0,1,1,1,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
Lenovo,94990,17.7,1.49,14.0,243,16.0,16,0,1,8.0,72.0,4.0,1,0,0,1,0,0,1,1,,1.0,2.0,7.0,amd,3,amd,0.0,Integrated,0,0,1,0,,1024.0
Asus,74990,0.0,1.4,14.0,323,16.0,16,0,1,12.0,63.0,3.0,1,0,0,1,0,0,1,1,,1.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Acer,57990,19.9,2.1,15.6,141,12.0,16,1,0,8.0,50.0,3.0,1,1,0,0,0,0,1,1,,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0
Lenovo,399999,0.0,heavy,16.0,236,32.0,32,1,0,24.0,99.0,6.0,1,1,1,1,0,0,1,0,,2.0,3.0,13.0,intel,i9,nvidia,16.0,rtx4090,0,0,0,1,,1024.0
Lenovo,34990,19.9,1.63,15.6,157,8.0,8,1,0,6.0,50.0,3.0,1,0,1,0,0,0,0,0,1.0,1.0,1.0,12.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
Dell,56340,16.96,1.83,15.6,141,8.0,8,1,0,4.0,50.0,3.0,1,0,1,0,0,0,0,0,1.0,2.0,,11.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Asus,70990,0.0,2.3,15.6,141,16.0,16,1,0,8.0,90.0,4.0,1,1,0,0,0,0,1,0,,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Dell,61990,0.0,1.65,15.6,141,12.0,16,0,0,10.0,50.0,3.0,1,0,1,0,0,0,1,0,1.0,1.0,1.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Acer,48999,18.8,1.78,15.6,141,8.0,16,1,0,4.0,40.0,3.0,1,0,0,0,0,0,0,0,,2.0,1.0,7.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0
Lenovo,60990,0.0,1.46,14.0,157,12.0,16,1,0,8.0,56.6,,1,0,0,0,0,0,1,0,,2.0,2.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,1024.0
Wings,27990,18.4,1.6,15.6,141,8.0,8,1,0,4.0,17.85,,1,0,0,0,0,0,1,0,1.0,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,1,0,0,,512.0
MSI,54990,21.7,1.86,15.6,141,12.0,16,1,0,6.0,52.4,3.0,1,1,0,1,0,0,1,0,,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,1,0,512.0,512.0
HP,23490,0.0,1.6,15.6,100,2.0,4,1,0,2.0,41.0,3.0,1,1,1,0,0,0,0,0,,2.0,1.0,3.0,amd,3,amd,0.0,Integrated,1,0,0,0,,256.0
HP,131254,0.0,heavy,16.0,141,16.0,16,1,0,8.0,41.0,6.0,1,1,0,0,0,0,1,0,,2.0,2.0,7.0,amd,7,nvidia,8.0,rtx4060,0,0,0,1,,1024.0
MSI,51990,21.7,1.86,15.6,141,12.0,16,1,0,6.0,52.4,3.0,1,1,0,0,0,0,1,0,,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx2050,0,0,1,0,,512.0
HP,89999,24.0,2.48,16.1,137,16.0,16,1,0,8.0,70.0,4.0,1,1,1,0,0,0,1,0,,3.0,1.0,7.0,amd,7,nvidia,4.0,rtx3050,0,0,0,1,,1024.0
Lenovo,44990,0.0,1.62,15.6,141,8.0,16,1,0,4.0,47.0,3.0,1,0,1,0,0,0,1,1,,2.0,1.0,7.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0
Dell,62990,0.0,1.66,15.6,141,12.0,8,1,0,10.0,41.0,3.0,1,1,1,0,0,0,0,0,1.0,1.0,1.0,13.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Lenovo,114990,0.0,heavy,15.6,184,16.0,16,1,0,12.0,60.0,3.0,1,1,0,1,0,0,1,0,,3.0,1.0,13.0,intel,i7,nvidia,8.0,rtx4060,0,0,0,1,,512.0
Acer,36990,17.9,1.76,15.6,141,8.0,16,1,0,6.0,50.0,3.0,1,1,0,1,0,0,1,0,,2.0,2.0,12.0,intel,i3,intel,0.0,Integrated,0,0,0,1,,512.0
Dell,71989,19.5,1.59,14.0,141,12.0,16,1,0,10.0,54.0,4.0,1,0,1,0,0,0,1,1,,2.0,1.0,13.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,1024.0
Lenovo,62990,24.2,2.25,15.6,141,12.0,8,1,0,6.0,45.0,3.0,1,1,0,0,0,0,1,0,,2.0,1.0,5.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
HP,83990,18.6,1.6,15.6,141,12.0,16,1,1,10.0,51.0,3.0,1,0,1,1,0,0,1,0,,2.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0
Chuwi,22490,0.0,1.47,14.0,280,4.0,8,0,0,2.0,46.2,,1,0,0,0,0,0,0,0,,2.0,1.0,10.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
Dell,42990,23.5,1.68,15.6,141,12.0,8,1,0,6.0,41.0,3.0,1,1,1,0,0,0,1,0,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0
Infinix,89990,16.95,1.8,15.6,141,20.0,32,1,0,14.0,70.0,,1,0,0,0,1,0,1,1,2.0,2.0,,13.0,intel,i9,intel,0.0,Integrated,0,0,1,0,,1024.0
Ninkear,56000,24.0,1.87,16.0,186,16.0,32,1,0,8.0,83.0,,1,1,0,0,0,0,1,0,,,2.0,7.0,amd,3,amd,0.0,Integrated,1,0,0,0,,2048.0
Ultimus,23990,0.0,1.3,14.1,156,4.0,8,1,0,2.0,17.85,,1,0,0,0,0,0,0,0,,2.0,1.0,10.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
Acer,89990,25.9,2.6,15.6,141,16.0,16,1,0,10.0,,,1,1,0,0,0,0,1,0,,3.0,1.0,12.0,intel,i7,nvidia,6.0,rtx4050,0,0,0,1,,512.0
AXL,12989,0.0,lite,14.1,156,2.0,4,1,0,2.0,18.5,2.0,1,0,0,0,0,0,0,0,1.0,1.0,,7.0,intel,7,intel,0.0,Integrated,0,0,1,0,,256.0
Infinix,34990,14.8,1.24,14.0,157,8.0,16,0,0,4.0,50.0,,1,0,0,0,0,0,1,0,,2.0,2.0,11.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Acer,36990,18.9,1.78,15.6,141,8.0,8,0,0,6.0,50.0,3.0,1,0,0,0,0,0,0,0,,2.0,,13.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
Xiaomi,43990,0.0,lite,14.0,243,16.0,8,1,0,12.0,38.0,2.0,1,0,0,1,0,0,1,0,1.0,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0
HP,89500,17.0,1.41,14.0,157,12.0,16,0,1,10.0,43.0,3.0,1,0,0,0,0,0,1,1,,2.0,1.0,13.0,intel,i7,intel,0.0,Integrated,1,0,0,0,,512.0
Acer,64990,14.9,1.25,14.0,243,16.0,16,1,0,12.0,65.0,4.0,1,0,0,0,0,0,1,1,,2.0,2.0,13.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Acer,129990,2.6,2.6,16.0,142,24.0,16,1,0,16.0,90.0,4.0,1,1,0,1,0,0,1,0,,3.0,2.0,13.0,intel,i7,nvidia,8.0,rtx4060,0,0,1,0,,1024.0
Acer,114990,2.6,2.6,16.0,142,24.0,16,1,0,16.0,90.0,4.0,1,1,0,1,0,0,1,0,,3.0,2.0,13.0,intel,i7,nvidia,6.0,rtx4050,0,0,1,0,,1024.0
Acer,99990,0.0,2.6,16.0,142,20.0,16,1,0,14.0,90.0,4.0,1,1,0,1,0,0,1,0,,3.0,2.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,1,0,,512.0
HP,44990,17.9,1.69,15.6,141,8.0,8,1,0,6.0,41.0,3.0,1,0,1,0,0,0,1,0,,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
HP,72799,22.5,2.37,15.6,137,12.0,16,1,0,8.0,70.0,4.0,1,1,1,0,0,0,1,0,,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
HP,35990,17.9,lite,15.6,100,4.0,8,1,0,2.0,41.0,3.0,1,0,1,0,0,0,0,0,,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,1,0,0,,512.0
HP,75999,0.0,heavy,15.6,137,12.0,16,1,0,8.0,52.5,3.0,1,1,1,0,0,0,1,0,,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Asus,69990,19.0,1.5,14.0,162,16.0,16,0,1,8.0,50.0,3.0,1,0,0,0,0,0,1,1,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0
Asus,56990,18.9,1.5,14.0,162,16.0,8,1,0,12.0,70.0,3.0,1,0,0,0,0,0,1,1,1.0,1.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Asus,49990,17.9,1.63,15.6,141,8.0,16,1,0,4.0,,,1,0,0,0,0,0,1,0,1.0,1.0,1.0,7.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0
Acer,32990,18.9,1.7,15.6,141,8.0,8,1,0,8.0,40.0,3.0,1,1,0,0,0,0,0,0,,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
Acer,64990,26.9,2.5,15.6,141,12.0,8,1,0,6.0,57.0,4.0,1,1,0,1,0,0,1,0,,3.0,1.0,7.0,amd,3,nvidia,4.0,rtx3050,1,0,0,0,,512.0
Asus,44990,17.9,1.63,15.6,141,8.0,16,1,0,4.0,45.0,,1,0,0,0,0,0,0,0,1.0,1.0,1.0,7.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0
Asus,39990,17.9,1.63,15.6,141,8.0,8,1,0,4.0,,,1,0,0,0,0,0,1,0,1.0,1.0,1.0,7.0,amd,3,amd,0.0,Integrated,0,0,1,0,,512.0
Lenovo,39990,19.9,1.43,14.0,157,8.0,8,1,0,6.0,,,1,0,1,0,0,0,1,1,1.0,1.0,1.0,12.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
MSI,308990,21.0,2.8,17.3,255,20.0,32,1,0,14.0,72.0,4.0,1,1,1,1,0,0,1,1,,2.0,2.0,12.0,intel,i9,nvidia,16.0,Integrated,0,0,0,1,,2048.0
Infinix,26990,18.2,1.76,15.6,141,4.0,8,1,0,2.0,50.0,,1,0,0,0,0,0,1,0,,2.0,2.0,10.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
Infinix,26990,18.2,1.76,15.6,141,4.0,8,1,0,2.0,50.0,,1,0,0,0,0,0,1,0,,2.0,2.0,10.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,256.0
HP,37990,17.9,1.69,15.6,141,4.0,8,1,0,2.0,41.0,3.0,1,0,1,0,0,0,1,0,,2.0,1.0,11.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
HP,51990,17.9,1.69,15.6,141,8.0,8,1,0,4.0,41.0,3.0,1,0,1,0,0,0,1,0,,2.0,1.0,11.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Asus,53990,20.0,1.8,16.0,283,12.0,16,1,0,6.0,,,1,0,0,0,0,0,1,1,1.0,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,0,1,,512.0
Dell,108000,0.0,1.59,14.0,112,12.0,8,0,0,10.0,72.0,4.0,1,1,1,0,0,0,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Dell,44550,0.0,1.63,15.6,147,8.0,8,1,0,4.0,41.0,3.0,1,0,1,0,0,0,0,0,1.0,1.0,1.0,7.0,amd,5,amd,0.0,Integrated,1,0,0,0,,512.0
HP,143000,19.9,1.8,16.0,142,12.0,16,1,0,10.0,51.0,3.0,1,0,0,0,0,0,1,1,,2.0,2.0,12.0,intel,i7,intel,0.0,Integrated,1,0,0,0,,1024.0
Acer,42990,0.0,1.75,15.6,141,8.0,8,1,0,6.0,50.0,3.0,1,0,0,1,0,0,1,0,,2.0,1.0,13.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
Dell,354490,19.5,2.44,17.0,266,20.0,32,1,1,14.0,97.0,6.0,0,0,1,1,0,0,1,1,,,4.0,13.0,intel,i9,nvidia,8.0,rtx4070,1,0,0,0,,1024.0
Lenovo,33900,19.9,1.7,15.6,141,8.0,8,1,0,6.0,38.0,2.0,1,1,0,0,0,0,0,0,1.0,1.0,1.0,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
HP,66999,17.9,1.75,15.6,141,16.0,16,1,0,8.0,50.0,3.0,1,0,0,0,0,0,1,0,,2.0,1.0,7.0,amd,3,amd,0.0,Integrated,1,0,0,0,,512.0
Dell,89990,18.0,1.91,16.0,138,12.0,16,1,0,10.0,54.0,4.0,1,1,1,0,0,0,1,1,,2.0,1.0,13.0,intel,i7,,12.0,Integrated,1,0,0,0,,512.0
Lenovo,31990,19.9,1.65,15.6,147,8.0,8,1,0,4.0,,,1,1,1,0,0,0,0,0,,2.0,1.0,7.0,amd,3,amd,0.0,Integrated,0,0,1,0,,512.0
Lenovo,172990,0.0,heavy,16.0,184,20.0,32,1,0,14.0,50.0,3.0,1,1,0,1,0,0,1,0,,3.0,2.0,13.0,intel,i7,nvidia,16.0,rtx4090,0,0,0,1,,1024.0
MSI,292990,19.95,1.88,16.0,283,20.0,32,1,0,14.0,99.9,4.0,1,1,0,0,0,0,1,1,,1.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4070,0,0,1,0,,1024.0
Acer,47990,19.9,2.1,15.6,141,12.0,8,1,0,8.0,50.0,3.0,1,1,0,1,0,0,1,0,,3.0,1.0,12.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0
HP,66150,17.9,1.74,15.6,141,16.0,16,1,0,12.0,41.0,,1,0,0,0,0,0,1,0,,2.0,1.0,13.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Asus,131990,24.9,2.2,15.6,141,16.0,16,1,0,8.0,72.0,4.0,1,1,0,1,0,0,1,0,,2.0,2.0,7.0,amd,7,nvidia,6.0,rtx4050,0,0,0,1,,1024.0
Asus,179990,30.4,2.5,16.0,189,32.0,16,1,0,24.0,72.0,4.0,1,1,0,1,0,0,1,0,,2.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,0,1,,1024.0
Asus,79990,18.9,1.8,16.0,142,12.0,16,1,0,8.0,63.0,3.0,1,0,1,0,0,0,1,1,,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,1,0,,512.0
HP,41490,17.9,1.69,15.6,141,8.0,8,1,0,6.0,50.0,3.0,1,0,0,0,0,0,1,0,,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
MSI,76990,24.9,2.25,15.6,141,12.0,16,1,0,8.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,12.0,intel,i5,nvidia,6.0,rtx3050,0,0,1,0,,512.0
Asus,79990,18.9,1.4,14.0,162,16.0,16,1,0,12.0,50.0,3.0,1,0,0,0,0,0,1,1,,2.0,1.0,13.0,intel,i5,nvidia,4.0,rtx2050,0,0,1,0,,512.0
Asus,87990,20.0,1.8,16.0,283,16.0,16,1,0,12.0,50.0,3.0,1,0,1,0,0,0,1,1,,2.0,1.0,13.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0
Asus,59519,0.0,2.6,17.3,127,12.0,8,1,0,6.0,48.0,3.0,1,1,0,1,0,0,1,0,,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0
Asus,61990,24.5,2.3,15.6,141,12.0,16,1,0,6.0,48.0,4.0,1,1,0,1,0,0,1,0,,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0
HP,54990,23.0,2.37,15.6,137,12.0,8,1,0,6.0,52.5,3.0,1,1,1,0,0,0,1,0,,2.0,1.0,5.0,amd,5,nvidia,4.0,gtx1650,0,0,0,1,,512.0
Asus,159990,19.9,1.9,16.0,236,20.0,16,1,0,14.0,96.0,6.0,1,1,0,1,0,0,1,1,,2.0,2.0,13.0,intel,i9,nvidia,6.0,rtx4050,1,0,0,0,,1024.0
Realme,40990,14.9,1.37,14.0,185,8.0,8,1,0,4.0,,,0,0,0,1,0,0,1,1,,1.0,2.0,11.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
HP,109990,22.5,2.37,15.6,141,20.0,16,1,0,14.0,70.0,4.0,1,1,1,0,0,0,1,0,,3.0,1.0,13.0,intel,i7,nvidia,6.0,rtx4050,0,0,0,1,,512.0
Acer,84000,26.9,2.5,15.6,141,16.0,16,1,0,8.0,57.0,4.0,1,1,0,0,0,0,1,0,,3.0,1.0,7.0,amd,3,nvidia,4.0,rtx3050,1,0,0,0,,512.0
Asus,64990,19.9,1.7,15.6,141,16.0,16,1,0,12.0,50.0,3.0,1,0,0,0,0,0,1,0,1.0,2.0,1.0,13.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Lenovo,24551,0.0,lite,15.6,141,2.0,8,0,0,2.0,38.0,2.0,1,1,0,0,0,0,0,0,1.0,1.0,1.0,7.0,intel,7,intel,0.0,Integrated,1,0,0,0,,256.0
Honor,40990,17.0,1.54,15.6,141,12.0,16,0,0,6.0,56.0,3.0,1,0,0,0,0,0,1,1,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0
HP,41490,0.0,1.69,15.6,141,12.0,8,1,0,6.0,41.0,3.0,1,0,1,0,0,0,0,0,,2.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0
HP,45790,0.0,1.75,15.6,141,8.0,8,1,0,4.0,41.0,3.0,1,0,0,0,0,0,0,0,,2.0,1.0,7.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0
HP,56990,23.0,2.37,15.6,137,12.0,8,1,0,6.0,52.5,3.0,1,1,1,0,0,0,1,0,,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0
HP,42990,17.9,1.46,14.0,157,8.0,8,1,0,6.0,41.0,3.0,1,0,1,0,0,0,1,0,,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
Asus,429990,20.5,2.67,16.0,283,32.0,32,1,0,16.0,90.0,4.0,1,1,0,1,0,0,1,0,,2.0,2.0,7.0,amd,5,nvidia,16.0,rtx4090,0,0,0,1,,2048.0
Acer,30990,18.9,1.7,15.6,141,8.0,8,1,0,8.0,40.0,3.0,1,1,0,0,0,0,0,0,,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,256.0
MSI,116990,24.9,2.25,15.6,141,16.0,16,1,0,10.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,13.0,intel,i7,nvidia,8.0,rtx4060,0,0,1,0,,1024.0
HP,67990,22.5,2.37,15.6,137,12.0,16,1,0,8.0,52.5,3.0,1,1,1,0,0,0,1,0,,2.0,1.0,12.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0
Samsung,89990,15.4,1.57,15.6,157,12.0,16,1,0,10.0,54.0,,1,0,0,0,0,0,1,1,,2.0,2.0,13.0,intel,i7,intel,0.0,Integrated,0,1,0,0,,512.0
Samsung,76990,15.4,1.57,15.6,157,12.0,16,1,0,10.0,54.0,,1,0,0,0,0,0,1,1,,2.0,2.0,13.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0
Asus,42990,0.0,lite,15.6,141,12.0,8,1,0,10.0,50.0,3.0,1,0,0,0,0,0,1,0,1.0,2.0,1.0,12.0,intel,i3,intel,0.0,Integrated,0,0,1,0,,512.0
MSI,154990,27.2,2.7,17.3,127,20.0,16,1,0,14.0,90.0,4.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,13.0,intel,i7,nvidia,8.0,rtx4070,0,0,1,0,,1024.0
Samsung,281990,16.5,1.79,16.0,157,20.0,32,1,0,14.0,,,1,0,0,1,0,0,1,1,,1.0,2.0,13.0,intel,i9,nvidia,16.0,rtx4070,0,1,0,0,,1024.0
Lenovo,46990,19.9,1.65,15.6,157,12.0,16,1,0,6.0,65.0,,1,0,1,0,0,0,1,1,1.0,1.0,1.0,5.0,amd,5,amd,0.0,Integrated,0,0,1,0,,512.0
Samsung,163990,12.8,1.66,16.0,212,16.0,16,1,1,12.0,76.0,,1,0,0,1,0,0,1,1,,1.0,2.0,13.0,intel,i7,intel,0.0,Integrated,1,0,0,0,,512.0
Samsung,138990,13.7,1.46,15.6,141,16.0,16,1,1,12.0,68.0,,1,0,0,1,0,0,1,1,,1.0,2.0,13.0,intel,i7,intel,0.0,Integrated,1,0,0,0,,1024.0
Samsung,109990,12.9,1.16,13.3,166,12.0,16,1,1,10.0,61.0,,1,0,0,1,0,0,1,1,,1.0,2.0,13.0,intel,i7,intel,0.0,Integrated,1,0,0,0,,512.0
Asus,34000,19.9,1.8,15.6,141,4.0,8,1,0,2.0,37.0,2.0,1,0,0,0,0,0,1,1,2.0,1.0,1.0,11.0,intel,i3,intel,0.0,Integrated,1,0,0,0,,512.0
Primebook,12990,19.3,1.2,11.6,135,12.0,4,0,0,8.0,,,0,1,0,0,0,0,0,0,,2.0,,7.0,mediatek,7,arm,0.0,Integrated,0,0,0,0,128.0,128.0
HP,56490,23.0,2.37,15.6,137,12.0,8,1,0,6.0,52.5,3.0,1,1,1,0,0,0,1,0,,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0
HP,67990,17.9,1.74,15.6,141,16.0,16,1,0,12.0,41.0,3.0,1,0,0,0,0,0,1,0,,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0
Apple,199900,15.5,1.6,14.2,254,8.0,16,1,0,10.0,70.0,,1,0,1,1,0,0,1,0,,,3.0,2.0,apple,M2,apple,0.0,Integrated,0,0,1,0,,512.0
HP,84844,16.9,1.32,13.4,255,12.0,16,1,1,10.0,72.0,4.0,0,0,0,1,0,0,1,0,,2.0,2.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Acer,69000,19.9,2.1,15.6,141,16.0,16,0,0,12.0,50.0,3.0,1,1,0,1,0,0,1,1,,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,1,0,0,0,,512.0
HP,65439,17.0,1.41,14.0,141,12.0,16,1,0,10.0,43.0,3.0,1,0,0,0,0,0,1,1,2.0,,1.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
Lenovo,59990,0.0,1.5,14.0,157,12.0,8,1,0,10.0,45.0,3.0,1,0,0,0,0,0,1,1,1.0,1.0,1.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Lenovo,67990,19.0,1.59,14.0,157,12.0,8,1,0,10.0,50.0,3.0,1,1,0,0,0,0,1,1,1.0,1.0,1.0,12.0,intel,i5,intel,0.0,Integrated,0,1,0,0,,512.0
Dell,54990,0.0,1.65,15.6,141,12.0,8,1,0,10.0,41.0,3.0,1,0,1,1,0,0,0,0,1.0,2.0,,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
Asus,62990,19.9,1.5,14.0,157,16.0,16,1,1,12.0,42.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,0,0,1,0,,512.0
MSI,86800,23.95,2.26,16.0,191,20.0,16,1,0,14.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,12.0,intel,i7,nvidia,4.0,Integrated,0,0,1,0,,1024.0
Asus,16990,19.5,1.2,11.6,135,2.0,4,1,0,2.0,50.0,3.0,0,0,1,0,0,0,1,0,,1.0,2.0,7.0,intel,7,intel,0.0,Integrated,0,0,1,0,32.0,32.0
Asus,86990,19.9,1.8,15.6,141,12.0,16,1,0,8.0,50.0,3.0,1,0,1,0,0,0,1,1,2.0,1.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,1,0,0,0,,512.0
Acer,23990,20.9,1.5,14.0,112,4.0,8,0,0,2.0,50.0,3.0,1,1,0,0,0,0,0,0,,2.0,1.0,3.0,amd,3,amd,0.0,Integrated,1,0,0,0,,256.0
Asus,79990,19.9,1.8,15.6,141,12.0,16,1,0,8.0,50.0,3.0,1,0,1,0,0,0,1,0,,2.0,,12.0,intel,i5,nvidia,4.0,rtx3050,1,0,0,0,,512.0
Asus,179990,21.4,2.4,16.0,283,20.0,16,1,0,14.0,90.0,4.0,1,1,1,1,0,0,1,1,,2.0,2.0,12.0,intel,i7,nvidia,6.0,rtx3060,0,0,1,0,,1024.0
Asus,104990,24.9,2.2,15.6,141,16.0,16,1,0,8.0,72.0,4.0,1,1,1,0,0,0,1,0,,2.0,2.0,6.0,amd,7,nvidia,6.0,rtx3060,0,0,0,1,,1024.0
HP,55990,17.9,1.69,15.6,141,12.0,8,1,0,10.0,50.0,3.0,1,0,0,0,0,0,1,0,,2.0,1.0,12.0,intel,i5,intel,0.0,Integrated,1,0,0,0,,512.0
