brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd,popularity,quality_type,ppi_type,thickness_num,weight_num
Acer,25990,medium,lite,14,157,4.0,8.0,1,0,2.0,45.5,2.0,1,1,0,0,0,0,0,0,1.0,3.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,popular,low,high,21.6,1.5
Wings,34990,,medium,15,141,8.0,8.0,1,0,4.0,17.85,,1,0,0,0,0,0,1,0,1.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0,regular,high,medium,,1.6
MSI,49990,medium,medium,15,141,12.0,16.0,1,0,8.0,51.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,intel,4.0,Integrated,0,0,1,0,,512.0,regular,low,medium,21.7,1.86
Acer,79745,thick,heavy,15,141,12.0,8.0,1,0,8.0,,,1,1,0,0,0,0,1,0,0.0,3.0,1.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,medium,medium,25.9,2.6
Acer,35990,medium,medium,15,141,12.0,16.0,1,0,6.0,36.0,3.0,1,1,1,0,0,0,0,0,1.0,2.0,1.0,5.0,amd,5,intel,,Integrated,0,0,1,0,,512.0,regular,low,medium,19.7,1.59
HP,92221,thick,heavy,16,137,16.0,16.0,1,0,8.0,70.0,4.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,7.0,amd,7,nvidia,6.0,rtx3050,0,0,0,1,,1024.0,popular,medium,low,24.0,2.48
Wings,45990,slim,lite,14,157,8.0,16.0,1,0,4.0,17.85,,1,0,0,0,0,0,1,0,1.0,2.0,2.0,11.0,intel,i7,intel,,Integrated,0,1,0,0,,512.0,regular,low,high,16.3,1.48
HP,37650,slim,medium,15,141,4.0,8.0,1,0,2.0,41.0,3.0,1,0,1,0,0,0,0,0,0.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,popular,low,medium,17.9,1.7
Asus,49990,medium,medium,16,283,12.0,8.0,1,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,5.0,amd,5,amd,,Integrated,0,0,0,1,,512.0,popular,low,high,20.0,1.8
MSI,28990,medium,lite,14,157,4.0,8.0,1,0,2.0,,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,popular,low,high,19.35,1.4
Apple,69990,slim,lite,13,227,,8.0,0,0,8.0,49.9,,0,0,0,1,0,0,1,0,0.0,2.0,2.0,,apple,M1,apple,,Integrated,0,0,1,0,,256.0,viral,high,high,16.1,1.29
HP,55999,thick,heavy,15,141,12.0,8.0,1,1,6.0,52.5,,1,1,1,0,0,0,1,0,0.0,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0,regular,medium,medium,23.5,2.29
Asus,85990,thick,heavy,15,141,20.0,16.0,1,0,14.0,76.0,4.0,1,1,0,1,0,0,1,0,0.0,2.0,2.0,12.0,intel,i7,nvidia,4.0,rtx3050,0,0,1,0,,1024.0,regular,medium,medium,25.0,2.2
Samsung,49990,medium,medium,15,141,12.0,16.0,1,0,10.0,43.0,4.0,1,1,0,0,0,0,0,0,1.0,1.0,2.0,12.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0,popular,medium,medium,18.5,1.8
Dell,67190,thick,heavy,15,141,16.0,16.0,1,0,12.0,56.0,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,medium,26.9,2.57
HP,45990,slim,medium,15,141,12.0,16.0,1,0,6.0,,3.0,1,0,1,0,0,0,1,0,0.0,2.0,1.0,5.0,amd,5,amd,,Integrated,0,0,1,0,,512.0,regular,low,medium,17.9,1.69
Acer,34990,medium,lite,14,135,8.0,16.0,0,0,4.0,45.5,2.0,1,1,0,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,popular,low,low,21.6,1.49
Acer,59990,,heavy,15,141,12.0,16.0,1,0,8.0,50.0,3.0,1,1,0,1,0,0,1,1,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,Integrated,0,0,1,0,,512.0,popular,low,medium,,2.1
Asus,58990,,medium,15,141,16.0,16.0,1,0,12.0,70.0,3.0,1,0,0,1,0,0,1,1,1.0,1.0,2.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,medium,medium,,1.8
Asus,57990,thick,heavy,15,141,12.0,8.0,1,0,6.0,90.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,regular,medium,medium,24.5,2.3
HP,62990,thick,heavy,16,137,12.0,16.0,1,0,6.0,70.0,4.0,1,1,1,0,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0,popular,low,low,23.5,2.48
Samsung,44990,medium,medium,15,141,12.0,8.0,1,0,10.0,43.0,4.0,1,1,0,0,0,0,0,0,1.0,1.0,2.0,12.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0,popular,low,medium,18.5,1.8
