brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd,popularity,quality_type,ppi_type,thickness_num,weight_num
HP,41990,slim,medium,15,141,8.0,8.0,1,0,6.0,41.0,3.0,1,0,1,0,0,0,1,0,0.0,2.0,1.0,12.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,popular,low,medium,17.9,1.69
Acer,79990,thick,heavy,15,141,12.0,16.0,1,0,8.0,,,1,1,0,0,0,0,1,0,0.0,3.0,1.0,13.0,intel,i5,nvidia,6.0,rtx4050,0,0,0,1,,512.0,regular,medium,medium,25.9,2.6
Asus,64990,medium,medium,15,141,16.0,16.0,1,0,10.0,42.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,12.0,intel,i7,intel,,Integrated,0,0,1,0,,512.0,popular,low,medium,19.9,1.7
Acer,62990,slim,lite,14,243,16.0,16.0,1,0,12.0,,3.0,1,0,0,1,0,0,1,1,0.0,2.0,2.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,popular,high,high,17.9,1.4
Lenovo,59990,,medium,15,141,12.0,16.0,1,0,10.0,,3.0,1,1,1,0,0,0,1,0,0.0,2.0,2.0,12.0,intel,i7,intel,,Integrated,0,0,1,0,,512.0,regular,low,medium,,1.7
Asus,80980,thick,heavy,15,141,16.0,16.0,1,0,8.0,90.0,4.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,1024.0,regular,low,medium,22.8,2.2
HP,38490,,lite,14,157,8.0,8.0,1,0,8.0,41.0,3.0,1,0,0,0,0,0,0,0,0.0,2.0,1.0,13.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,regular,low,high,,1.4
Asus,61990,medium,medium,16,283,16.0,16.0,1,0,8.0,,,1,0,0,0,0,0,1,1,1.0,2.0,1.0,5.0,amd,5,amd,,Integrated,1,0,0,0,,512.0,regular,medium,high,19.9,1.8
Infinix,37990,slim,lite,14,157,12.0,16.0,0,0,10.0,50.0,3.0,1,0,0,0,0,0,1,0,0.0,0.0,2.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,popular,low,high,14.8,1.24
Lenovo,148990,,,16,236,20.0,32.0,1,0,14.0,99.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,0,1,,1024.0,regular,low,high,,
HP,71960,thick,heavy,15,141,12.0,16.0,1,0,8.0,70.0,4.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,medium,23.5,2.29
Honor,46990,slim,lite,14,162,12.0,16.0,1,0,8.0,60.0,,1,0,0,0,0,0,1,1,0.0,2.0,1.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,popular,low,high,17.0,1.43
Wings,25990,medium,medium,15,141,8.0,8.0,1,0,4.0,17.85,,1,0,0,0,0,0,1,0,1.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,0,1,0,0,,256.0,regular,medium,medium,18.4,1.6
Acer,49990,medium,heavy,15,141,12.0,16.0,0,0,8.0,,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,gtx1650,0,0,1,0,,512.0,popular,low,medium,19.9,2.1
MSI,63990,medium,medium,15,141,16.0,16.0,1,0,8.0,,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,1,0,1024.0,0.0,popular,medium,medium,21.7,1.86
MSI,64990,medium,medium,15,141,16.0,16.0,1,0,8.0,52.4,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,11.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,medium,medium,21.7,1.86
Dell,37516,medium,medium,15,141,8.0,8.0,1,0,6.0,41.0,3.0,1,0,1,0,1,0,0,0,1.0,2.0,0.0,12.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,popular,low,medium,21.0,1.65
Asus,53981,medium,medium,16,142,12.0,16.0,1,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,5.0,amd,5,amd,,Integrated,0,0,0,1,,512.0,regular,low,medium,20.0,1.88
HP,22980,medium,lite,14,112,,8.0,1,0,,,,1,1,1,0,0,0,0,0,0.0,2.0,1.0,,amd,3,amd,,Integrated,1,0,0,0,1024.0,0.0,popular,low,low,19.9,1.47
Xiaomi,46990,slim,medium,15,242,8.0,16.0,0,0,4.0,,,1,0,0,1,0,0,1,1,1.0,1.0,1.0,11.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,viral,low,high,17.9,1.7
Lenovo,56990,,lite,14,141,12.0,16.0,1,0,8.0,56.6,,1,0,0,0,0,0,1,0,0.0,2.0,2.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,regular,high,medium,,1.46
Infinix,29990,thick,lite,14,157,8.0,8.0,0,0,6.0,50.0,3.0,1,0,0,0,0,0,1,0,0.0,0.0,2.0,12.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,regular,medium,high,,1.24
Asus,89990,thick,heavy,16,142,16.0,16.0,1,0,10.0,,4.0,1,0,0,1,0,0,1,0,0.0,2.0,1.0,13.0,intel,i5,nvidia,6.0,rtx3050,0,0,0,1,,512.0,regular,high,medium,30.4,2.5
Asus,55990,,medium,15,141,16.0,8.0,1,0,12.0,42.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,low,medium,,1.7
Acer,27990,medium,medium,15,141,4.0,8.0,1,0,2.0,36.0,3.0,1,1,1,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,regular,medium,medium,19.7,1.59
Acer,24990,medium,lite,14,157,4.0,8.0,1,0,2.0,45.5,,1,1,0,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,256.0,popular,low,high,21.6,1.5
Acer,32990,medium,lite,14,135,8.0,8.0,0,0,4.0,45.5,2.0,1,1,0,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,popular,low,low,21.6,1.5
HP,36850,slim,medium,15,100,12.0,8.0,1,0,6.0,41.0,3.0,1,1,1,0,0,0,0,0,0.0,2.0,1.0,5.0,amd,5,amd,,Integrated,1,0,0,0,,512.0,regular,low,low,17.9,1.75
Lenovo,36990,medium,medium,15,147,12.0,8.0,1,0,6.0,38.0,,1,1,0,0,0,0,0,0,1.0,1.0,1.0,5.0,amd,5,amd,,Integrated,0,0,1,0,,512.0,regular,low,high,19.9,1.7
Dell,67990,thick,heavy,15,141,16.0,8.0,1,0,12.0,41.0,3.0,1,1,0,0,0,0,1,0,1.0,3.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,medium,medium,26.9,2.57
Lenovo,18990,,medium,14,157,2.0,8.0,1,0,2.0,,,1,0,1,0,0,0,0,0,1.0,1.0,1.0,,amd,3,amd,,Integrated,1,0,0,0,,256.0,regular,low,high,,1.8
Dell,35980,thick,medium,15,147,4.0,8.0,0,0,2.0,,3.0,1,0,1,0,0,0,1,0,1.0,2.0,0.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,popular,low,high,23.5,1.8
HP,80990,thick,heavy,16,137,16.0,16.0,1,0,8.0,70.0,4.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,7.0,amd,7,nvidia,6.0,rtx3050,0,0,0,1,,512.0,regular,low,low,22.9,2.31
HP,53999,thick,medium,15,141,12.0,8.0,1,0,10.0,41.0,3.0,1,0,1,0,0,0,0,0,0.0,0.0,1.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,regular,medium,medium,,1.69
Lenovo,58989,slim,medium,16,141,12.0,16.0,1,0,8.0,56.6,,1,0,0,0,0,0,1,0,0.0,2.0,2.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,regular,high,medium,17.9,1.89
MSI,126990,thick,heavy,15,141,20.0,16.0,1,0,14.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,13.0,intel,i9,nvidia,8.0,rtx4060,0,0,1,0,,1024.0,regular,low,medium,24.9,2.25
Acer,42999,medium,medium,15,141,8.0,16.0,1,0,4.0,36.0,3.0,1,1,1,0,0,0,0,0,1.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,low,medium,19.7,1.59
Dell,84499,medium,medium,14,141,16.0,16.0,1,0,12.0,54.0,4.0,1,0,1,0,0,0,1,1,0.0,2.0,1.0,13.0,intel,i7,intel,,Integrated,1,0,0,0,,1024.0,regular,low,medium,19.5,1.59
Infinix,30990,slim,lite,14,157,4.0,8.0,0,0,2.0,50.0,,1,0,0,0,0,0,1,0,0.0,2.0,2.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,256.0,popular,medium,high,14.8,1.24
HP,74990,slim,medium,15,141,16.0,16.0,1,0,12.0,41.0,3.0,1,0,0,0,0,0,1,0,0.0,2.0,1.0,13.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,high,medium,17.9,1.75
HP,62750,thick,heavy,16,137,12.0,16.0,1,0,6.0,70.0,4.0,1,1,1,0,1,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,0,1,,512.0,popular,medium,low,23.5,2.46
Asus,65990,medium,medium,15,141,12.0,16.0,1,0,6.0,50.0,3.0,1,0,0,0,0,0,1,1,2.0,1.0,1.0,5.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,medium,medium,19.9,1.8
Primebook,11990,medium,lite,11,135,,4.0,0,0,8.0,,,0,0,0,0,0,0,0,0,0.0,2.0,0.0,,mediatek,7,arm,,Integrated,1,0,0,0,64.0,0.0,popular,low,low,19.3,1.2
Acer,49990,slim,medium,15,141,16.0,16.0,1,0,12.0,,3.0,1,1,0,1,0,0,1,0,0.0,2.0,2.0,12.0,intel,i5,nvidia,4.0,rtx2050,0,0,0,1,,512.0,popular,low,medium,17.9,1.8
Dell,72990,thick,heavy,15,141,16.0,16.0,1,0,12.0,56.0,3.0,1,1,0,0,0,0,1,0,1.0,3.0,0.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,low,medium,26.9,2.57
Asus,29990,medium,medium,15,141,4.0,8.0,1,0,2.0,37.0,2.0,1,0,0,0,0,0,1,1,2.0,1.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,,256.0,regular,high,medium,19.9,1.8
Acer,144990,thick,heavy,16,142,32.0,16.0,1,0,24.0,90.0,4.0,1,1,0,1,0,0,1,0,0.0,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4070,0,0,1,0,,1024.0,regular,high,medium,66.04,2.6
Asus,109990,medium,lite,14,243,20.0,16.0,1,0,14.0,63.0,3.0,1,0,0,0,0,0,1,1,0.0,2.0,1.0,13.0,intel,i9,nvidia,4.0,rtx3050,0,0,1,0,,1024.0,regular,low,high,18.9,1.45
HP,87990,thick,heavy,15,137,16.0,16.0,1,0,10.0,70.0,4.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,12.0,intel,i7,nvidia,4.0,rtx3050,0,0,0,1,,1024.0,regular,high,low,22.5,2.29
Asus,88990,thick,heavy,17,170,16.0,16.0,1,0,8.0,56.0,4.0,1,1,0,0,0,0,1,0,0.0,2.0,2.0,6.0,amd,7,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,high,27.0,2.5
HP,56990,thick,heavy,15,141,12.0,16.0,1,0,6.0,52.5,3.0,1,1,1,0,0,0,1,0,0.0,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,0,1,,512.0,regular,low,medium,23.5,2.29
MSI,48990,,medium,15,141,12.0,16.0,1,0,6.0,,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,1,0,,512.0,regular,medium,medium,,1.86
Lenovo,93050,thick,heavy,15,184,12.0,16.0,1,0,8.0,60.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,12.0,intel,i5,nvidia,6.0,rtx3050,0,0,0,1,,512.0,popular,medium,high,25.2,2.4
Lenovo,89999,,,15,184,12.0,8.0,1,0,8.0,60.0,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,13.0,intel,i5,nvidia,8.0,rtx4060,0,0,0,1,,512.0,regular,low,high,,
Walker,13990,,,14,156,2.0,4.0,1,0,2.0,18.5,2.0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,,intel,7,intel,,Integrated,0,0,1,0,,256.0,regular,low,high,,
Asus,76990,thick,heavy,15,141,16.0,8.0,1,0,12.0,90.0,4.0,1,1,0,1,0,0,1,0,1.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,1,0,,512.0,regular,medium,medium,25.0,2.2
Lenovo,23990,slim,medium,15,100,2.0,8.0,1,0,2.0,,,1,0,1,0,0,0,1,0,1.0,1.0,1.0,,amd,7,amd,,Integrated,0,0,1,0,,512.0,regular,high,low,17.9,1.58
Infinix,23990,slim,lite,14,157,4.0,8.0,0,0,2.0,50.0,,1,0,0,0,0,0,1,0,0.0,2.0,2.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,popular,low,high,14.8,1.24
Acer,97989,thick,heavy,15,188,16.0,16.0,1,0,10.0,57.5,4.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,12.0,intel,i7,nvidia,8.0,rtx3070ti,0,0,0,1,,1024.0,popular,medium,high,25.9,2.6
Asus,109990,thick,heavy,15,141,20.0,16.0,1,0,14.0,90.0,4.0,1,1,0,1,0,0,1,0,0.0,2.0,2.0,12.0,intel,i7,nvidia,8.0,rtx4060,0,0,1,0,,512.0,regular,medium,medium,22.4,2.2
Asus,47741,medium,medium,15,141,12.0,8.0,1,0,10.0,42.0,3.0,1,0,0,0,0,0,1,1,1.0,2.0,1.0,12.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,low,medium,19.9,1.7
Asus,75990,slim,medium,15,212,16.0,16.0,1,0,12.0,,4.0,1,0,0,1,0,0,1,1,1.0,1.0,1.0,13.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,medium,high,17.9,1.7
MSI,59990,thick,heavy,15,141,16.0,16.0,1,0,8.0,53.5,3.0,1,1,0,0,0,0,1,0,1.0,2.0,1.0,5.0,amd,5,amd,4.0,rx6500m,0,0,1,0,,512.0,popular,medium,medium,24.95,2.35
Apple,126990,slim,medium,15,224,,8.0,0,0,8.0,66.5,,0,0,0,1,1,0,1,1,0.0,0.0,2.0,,apple,M2,apple,,Integrated,0,0,1,0,,256.0,regular,medium,high,11.5,1.51
Infinix,23990,medium,medium,15,141,4.0,8.0,1,0,4.0,40.0,,1,0,0,0,0,0,1,0,0.0,2.0,2.0,11.0,intel,5,intel,,Integrated,0,0,1,0,,512.0,viral,low,medium,18.15,1.76
Asus,69990,medium,medium,15,141,16.0,16.0,1,0,8.0,50.0,3.0,1,0,0,0,0,0,1,1,2.0,1.0,1.0,5.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,low,medium,19.9,1.8
Acer,33999,medium,medium,15,141,8.0,8.0,0,0,4.0,40.0,3.0,1,0,0,0,0,0,0,0,0.0,2.0,1.0,7.0,amd,3,amd,,Integrated,1,0,0,0,,512.0,popular,low,medium,18.9,1.78
Acer,47990,slim,medium,15,141,12.0,12.0,1,0,10.0,,3.0,1,1,0,1,0,0,1,1,0.0,3.0,1.0,12.0,intel,i5,intel,,Integrated,0,0,0,1,,512.0,regular,low,medium,17.9,1.76
Xiaomi,59990,slim,lite,14,215,12.0,16.0,1,0,8.0,,,1,0,0,1,0,0,1,1,0.0,1.0,1.0,12.0,intel,i5,nvidia,2.0,mx550,1,0,0,0,,512.0,regular,low,high,15.9,1.4
Acer,69990,thick,heavy,15,141,16.0,16.0,1,0,8.0,,4.0,1,0,0,1,0,0,1,0,1.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,medium,medium,26.0,2.5
Infinix,37990,slim,lite,14,157,8.0,16.0,0,0,4.0,50.0,,1,0,0,0,0,0,1,0,0.0,2.0,2.0,11.0,intel,i5,intel,,Integrated,1,0,0,0,,1024.0,regular,medium,high,14.8,1.24
Dell,184999,slim,medium,15,145,12.0,16.0,1,0,6.0,,6.0,0,0,1,1,0,0,1,0,0.0,0.0,3.0,10.0,intel,i7,nvidia,4.0,Integrated,0,0,0,0,,512.0,regular,low,medium,11.65,1.84
Lenovo,177990,medium,medium,16,236,20.0,16.0,1,0,14.0,99.9,4.0,1,0,1,1,0,0,1,1,0.0,3.0,2.0,13.0,intel,i9,nvidia,8.0,rtx4070,0,0,0,1,,1024.0,regular,high,high,19.9,2.0
Dell,51487,,medium,15,141,12.0,8.0,1,0,10.0,41.0,3.0,1,0,1,0,0,0,1,0,1.0,2.0,0.0,12.0,intel,i5,intel,,Integrated,1,0,0,0,,512.0,regular,low,medium,,1.65
Asus,94990,thick,heavy,16,142,16.0,16.0,1,0,10.0,,4.0,1,0,0,1,0,0,1,0,0.0,2.0,1.0,13.0,intel,i5,nvidia,6.0,rtx3050,0,0,0,1,,1024.0,regular,high,medium,30.4,2.5
Ultimus,25990,,lite,14,156,8.0,8.0,0,0,4.0,,,1,1,0,0,0,0,0,0,0.0,2.0,1.0,10.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,low,high,,1.3
Infinix,47990,slim,lite,14,157,12.0,16.0,0,0,10.0,50.0,3.0,1,0,0,0,0,0,1,0,0.0,0.0,2.0,12.0,intel,i7,intel,,Integrated,0,0,1,0,,512.0,regular,low,high,14.8,1.24
MSI,45990,,medium,15,141,12.0,8.0,1,0,6.0,,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,gtx1650,0,0,1,0,,512.0,regular,high,medium,,1.86
MSI,55990,medium,medium,15,141,12.0,16.0,1,0,6.0,52.4,3.0,1,1,0,1,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx3050,0,0,1,0,1024.0,0.0,regular,medium,medium,21.7,1.86
Asus,70500,,,14,162,16.0,16.0,0,1,8.0,70.0,3.0,1,0,0,0,0,0,1,0,1.0,1.0,1.0,5.0,amd,5,amd,,Integrated,1,0,0,0,,1024.0,regular,low,high,,
Asus,65500,,,14,162,12.0,16.0,0,1,6.0,70.0,3.0,1,0,0,0,0,0,1,0,1.0,1.0,1.0,5.0,amd,5,amd,,Integrated,1,0,0,0,,1024.0,regular,low,high,,
Lenovo,40500,medium,medium,15,141,8.0,4.0,1,0,4.0,,3.0,1,1,0,0,0,0,0,0,1.0,1.0,1.0,4.0,amd,3,intel,,Integrated,0,0,1,0,,256.0,regular,high,medium,18.9,1.7
Lenovo,90000,,,14,157,16.0,16.0,1,0,8.0,50.0,3.0,1,1,0,0,0,0,0,0,0.0,2.0,2.0,4.0,amd,5,amd,,Integrated,0,1,0,0,,512.0,regular,medium,high,,
MSI,36990,medium,medium,15,141,8.0,8.0,1,0,4.0,,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,regular,medium,medium,19.9,1.7
MSI,29990,medium,medium,15,141,4.0,8.0,1,0,2.0,,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,regular,low,medium,19.9,1.7
Lenovo,62990,,heavy,15,141,12.0,16.0,1,0,6.0,60.0,4.0,1,1,0,0,0,0,1,0,0.0,2.0,1.0,6.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,low,medium,,2.32
Lenovo,40990,medium,medium,15,157,8.0,8.0,1,0,6.0,45.0,3.0,1,0,1,0,0,0,0,0,1.0,1.0,1.0,12.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,regular,high,high,19.9,1.63
Lenovo,34499,medium,medium,15,141,8.0,8.0,1,0,4.0,45.0,3.0,1,1,1,1,0,0,1,1,0.0,2.0,2.0,7.0,amd,3,amd,,Integrated,0,0,1,0,,512.0,regular,medium,medium,18.9,1.7
MSI,38990,medium,lite,14,157,8.0,16.0,1,0,4.0,,3.0,1,0,0,0,0,0,1,0,2.0,1.0,1.0,11.0,intel,i5,intel,,Integrated,0,0,1,0,,512.0,popular,low,high,19.35,1.4
Asus,85990,thick,heavy,15,141,16.0,16.0,1,0,12.0,90.0,4.0,1,1,0,1,0,0,1,0,0.0,2.0,2.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,1,0,,512.0,regular,high,medium,24.9,2.2
Lenovo,66290,slim,medium,15,141,8.0,8.0,1,0,4.0,42.0,,1,0,1,0,0,0,1,0,1.0,1.0,1.0,7.0,amd,5,amd,,Integrated,0,0,1,0,,512.0,regular,low,medium,17.9,1.58
Lenovo,67990,medium,heavy,15,141,12.0,16.0,1,0,8.0,60.0,,1,1,0,0,0,0,1,0,0.0,2.0,1.0,12.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,popular,low,medium,21.8,2.25
Asus,42990,medium,medium,14,157,4.0,16.0,1,0,2.0,,2.0,1,0,0,0,0,0,0,1,2.0,1.0,1.0,11.0,intel,i3,intel,,Integrated,1,0,0,0,,512.0,popular,low,high,19.9,1.6
Lenovo,54990,,heavy,15,141,12.0,8.0,1,0,6.0,60.0,4.0,1,1,0,0,0,0,1,0,0.0,2.0,1.0,6.0,amd,5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,medium,,2.32
