,brand,price,thickness,weight,screen_size,ppi,threads,ram,antiglare,touch_screen,cores,battery_capacity,battery_cell,hdmi,ethernet,multi_card_reader,thunderbolt,display_port,vga,backlit,fingerprint_sensor,usb2,usb3,typec,processor_gen,processor_brand,processor_model,graphics_brand,graphics_capacity,graphics_model,everyday_use,business,performance,gaming,hdd,ssd,popularity,quality_type,ppi_type
388,MSI,63500,thick,medium,15,141,12.0,16,1,0,6.0,,3.0,1,1,0,0,0,0,1,0,0.0,3.0,1.0,11.0,intel,i5,nvidia,4.0,rtx3050,0,0,0,1,,512.0,regular,medium,medium
389,MSI,91990,thick,heavy,15,141,16.0,16,1,0,10.0,53.5,3.0,1,1,0,1,0,0,1,0,1.0,2.0,1.0,12.0,intel,i7,nvidia,6.0,rtx3050,0,0,0,1,,512.0,regular,high,medium
390,Lenovo,47750,medium,medium,15,157,8.0,8,1,0,6.0,45.0,3.0,1,1,0,1,0,0,1,1,0.0,2.0,1.0,12.0,intel,i3,intel,,Integrated,0,1,0,0,,512.0,regular,low,high
391,Lenovo,95790,slim,lite,14,243,16.0,16,0,1,8.0,,4.0,1,0,0,1,0,0,1,1,2.0,1.0,0.0,7.0,amd,3,amd,,Integrated,0,0,1,0,,512.0,regular,low,high
392,Lenovo,79000,,medium,14,112,8.0,8,1,0,4.0,,,1,1,0,1,0,0,1,0,0.0,2.0,1.0,11.0,intel,i5,intel,,Integrated,0,1,0,0,,512.0,regular,high,low
393,Asus,72990,medium,,15,141,12.0,16,1,0,6.0,70.0,,1,0,0,0,0,0,1,0,2.0,1.0,1.0,5.0,amd,5,nvidia,4.0,rtx3050,1,0,0,0,,512.0,regular,low,medium
394,Acer,41990,medium,medium,14,112,12.0,8,0,0,6.0,48.0,3.0,1,1,1,0,0,1,0,0,0.0,3.0,1.0,5.0,amd,5,amd,,Integrated,0,0,1,0,,512.0,regular,high,low
395,Acer,44990,medium,medium,14,112,12.0,16,0,0,6.0,48.0,3.0,1,1,1,0,0,1,0,0,0.0,3.0,1.0,5.0,amd,5,amd,,Integrated,0,0,1,0,,512.0,regular,low,low
396,Asus,40990,medium,medium,15,141,8.0,8,1,0,6.0,,3.0,1,0,0,0,0,0,1,0,1.0,2.0,1.0,12.0,intel,i3,intel,,Integrated,0,0,1,0,,512.0,regular,medium,medium
397,Asus,38990,slim,lite,14,141,8.0,8,1,0,4.0,,3.0,1,0,0,0,0,0,1,0,1.0,1.0,1.0,7.0,amd,3,amd,,Integrated,0,0,1,0,,512.0,regular,medium,medium
